epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,108.515,0.55222,0.58779,1.02714,0.89539,0.82303,0.85579,0.68471,0.6967,0.7802,1.14402,0.0005744,0.0005744,0.0005744
38,110.334,0.95239,1.17173,1.23097,0.95372,0.80769,0.86326,0.70048,0.68958,0.77128,1.14157,0.0005348,0.0005348,0.0005348
39,112.071,0.61312,0.59795,1.05698,0.97319,0.78846,0.86264,0.70322,0.6544,0.74337,1.12096,0.0004952,0.0004952,0.0004952
40,114.072,0.51449,0.57868,0.97956,0.97198,0.78846,0.85913,0.71346,0.6148,0.7173,1.10337,0.0004556,0.0004556,0.0004556
41,119.017,0.489,0.79072,0.94001,0.97265,0.78846,0.85616,0.70864,0.62308,0.76846,1.11624,0.000416,0.000416,0.000416
42,121.776,0.49673,0.75895,0.94624,0.96924,0.78846,0.85426,0.70526,0.63849,0.86548,1.12173,0.0003764,0.0003764,0.0003764
43,123.924,0.40989,0.6916,0.88734,0.99507,0.76923,0.85241,0.69541,0.66749,0.96252,1.15177,0.0003368,0.0003368,0.0003368
44,125.672,0.45851,0.72518,0.92266,0.9957,0.78846,0.849,0.68592,0.67016,1.00755,1.1396,0.0002972,0.0002972,0.0002972
45,127.394,0.43402,0.74296,0.92242,1,0.78791,0.84668,0.6938,0.66065,0.92826,1.12614,0.0002576,0.0002576,0.0002576
46,129.122,0.39262,0.72414,0.96717,1,0.78378,0.84423,0.69699,0.64772,0.84158,1.11247,0.000218,0.000218,0.000218
47,131.484,0.40029,0.6993,0.90142,0.99765,0.78846,0.84451,0.69752,0.62861,0.77544,1.09705,0.0001784,0.0001784,0.0001784
48,134.046,0.38245,0.65433,0.92939,0.99708,0.78846,0.85107,0.70561,0.61147,0.72158,1.0802,0.0001388,0.0001388,0.0001388
49,135.705,0.40334,0.64896,0.91903,0.99639,0.78846,0.85252,0.71093,0.60271,0.70648,1.06859,9.92e-05,9.92e-05,9.92e-05
50,137.6,0.37003,0.61971,0.91794,0.9945,0.78846,0.85618,0.71664,0.5913,0.67822,1.05937,5.96e-05,5.96e-05,5.96e-05
